           0.000000   206.57      0.23924      4.06122-321   205.88     -0.10634      4.06122-321   206.54     -0.43290      4.06122-321
           0.059820   412.71       17.357       0.0000       411.83       16.879       0.0000       412.54       17.051       0.0000    
           0.060007   412.71       17.410       0.0000       411.83       16.933       0.0000       412.53       17.106       0.0000    
           0.060511   412.71       17.553       0.0000       411.83       17.077       0.0000       412.53       17.256       0.0000    
           0.060511   412.71       17.553       0.0000       411.83       17.077       0.0000       412.53       17.256       0.0000    
           0.060846   412.70       17.648       0.0000       411.82       17.173       0.0000       412.52       17.356       0.0000    
           0.061287   412.70       17.773       0.0000       411.82       17.299       0.0000       412.52       17.487       0.0000    
           0.061287   412.70       17.773       0.0000       411.82       17.299       0.0000       412.52       17.487       0.0000    
           0.061377   412.70       17.798       0.0000       411.82       17.324       0.0000       412.52       17.514       0.0000    
           0.061670   412.69       17.882       0.0000       411.81       17.408       0.0000       412.51       17.601       0.0000    
           0.061670   412.69       17.882       0.0000       411.81       17.408       0.0000       412.51       17.601       0.0000    
           0.061944   412.69       17.959       0.0000       411.81       17.487       0.0000       412.51       17.683       0.0000    
           0.062482   412.68       18.111       0.0000       411.81       17.641       0.0000       412.50       17.843       0.0000    
           0.062482   412.68       18.111       0.0000       411.81       17.641       0.0000       412.50       17.843       0.0000    
